movieId,image,title,genres
49,49.jpg,When Night Is Falling (1995),Drama|Romance
50,50.jpg,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
52,52.jpg,Mighty Aphrodite (1995),Comedy|Drama|Romance
53,53.jpg,Lamerica (1994),Adventure|Drama
54,54.jpg,"Big Green, The (1995)",Children|Comedy
55,55.jpg,Georgia (1995),Drama
57,57.jpg,Home for the Holidays (1995),Drama
58,58.jpg,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
60,60.jpg,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
61,61.jpg,Eye for an Eye (1996),Drama|Thriller
62,62.jpg,Mr. Holland's Opus (1995),Drama
63,63.jpg,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
64,64.jpg,Two if by Sea (1996),Comedy|Romance
65,65.jpg,Bio-Dome (1996),Comedy
66,66.jpg,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
68,68.jpg,French Twist (Gazon maudit) (1995),Comedy|Romance
69,69.jpg,Friday (1995),Comedy
70,70.jpg,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
71,71.jpg,Fair Game (1995),Action
72,72.jpg,Kicking and Screaming (1995),Comedy|Drama
73,73.jpg,"Misérables, Les (1995)",Drama|War
74,74.jpg,Bed of Roses (1996),Drama|Romance
75,75.jpg,Big Bully (1996),Comedy|Drama
76,76.jpg,Screamers (1995),Action|Sci-Fi|Thriller
77,77.jpg,Nico Icon (1995),Documentary
78,78.jpg,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
79,79.jpg,"Juror, The (1996)",Drama|Thriller
80,80.jpg,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
81,81.jpg,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
82,82.jpg,Antonia's Line (Antonia) (1995),Comedy|Drama
83,83.jpg,Once Upon a Time... When We Were Colored (1995),Drama|Romance
85,85.jpg,Angels and Insects (1995),Drama|Romance
86,86.jpg,White Squall (1996),Action|Adventure|Drama
87,87.jpg,Dunston Checks In (1996),Children|Comedy
88,88.jpg,Black Sheep (1996),Comedy
89,89.jpg,Nick of Time (1995),Action|Thriller
92,92.jpg,Mary Reilly (1996),Drama|Horror|Thriller
93,93.jpg,Vampire in Brooklyn (1995),Comedy|Horror|Romance
94,94.jpg,Beautiful Girls (1996),Comedy|Drama|Romance
95,95.jpg,Broken Arrow (1996),Action|Adventure|Thriller
96,96.jpg,In the Bleak Midwinter (1995),Comedy|Drama
97,97.jpg,"Hate (Haine, La) (1995)",Crime|Drama
99,99.jpg,Heidi Fleiss: Hollywood Madam (1995),Documentary
100,100.jpg,City Hall (1996),Drama|Thriller
101,101.jpg,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
102,102.jpg,Mr. Wrong (1996),Comedy
103,103.jpg,Unforgettable (1996),Mystery|Sci-Fi|Thriller
104,104.jpg,Happy Gilmore (1996),Comedy
105,105.jpg,"Bridges of Madison County, The (1995)",Drama|Romance
106,106.jpg,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
107,107.jpg,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
108,108.jpg,Catwalk (1996),Documentary
110,110.jpg,Braveheart (1995),Action|Drama|War
111,111.jpg,Taxi Driver (1976),Crime|Drama|Thriller
112,112.jpg,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
113,113.jpg,Before and After (1996),Drama|Mystery
116,116.jpg,Anne Frank Remembered (1995),Documentary
117,117.jpg,"Young Poisoner's Handbook, The (1995)",Crime|Drama
118,118.jpg,If Lucy Fell (1996),Comedy|Romance
119,119.jpg,"Steal Big, Steal Little (1995)",Comedy
121,121.jpg,"Boys of St. Vincent, The (1992)",Drama
122,122.jpg,Boomerang (1992),Comedy|Romance
123,123.jpg,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
125,125.jpg,Flirting With Disaster (1996),Comedy
126,126.jpg,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
128,128.jpg,Jupiter's Wife (1994),Documentary
129,129.jpg,Pie in the Sky (1996),Comedy|Romance
132,132.jpg,Jade (1995),Thriller
135,135.jpg,Down Periscope (1996),Comedy
137,137.jpg,Man of the Year (1995),Documentary
140,140.jpg,Up Close and Personal (1996),Drama|Romance
141,141.jpg,"Birdcage, The (1996)",Comedy
144,144.jpg,"Brothers McMullen, The (1995)",Comedy
145,145.jpg,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
146,146.jpg,"Amazing Panda Adventure, The (1995)",Adventure|Children
147,147.jpg,"Basketball Diaries, The (1995)",Drama
148,148.jpg,"Awfully Big Adventure, An (1995)",Drama
149,149.jpg,Amateur (1994),Crime|Drama|Thriller
150,150.jpg,Apollo 13 (1995),Adventure|Drama|IMAX
151,151.jpg,Rob Roy (1995),Action|Drama|Romance|War
152,152.jpg,"Addiction, The (1995)",Drama|Horror
153,153.jpg,Batman Forever (1995),Action|Adventure|Comedy|Crime
154,154.jpg,Beauty of the Day (Belle de jour) (1967),Drama
155,155.jpg,Beyond Rangoon (1995),Adventure|Drama|War
156,156.jpg,Blue in the Face (1995),Comedy|Drama
157,157.jpg,Canadian Bacon (1995),Comedy|War
158,158.jpg,Casper (1995),Adventure|Children
159,159.jpg,Clockers (1995),Crime|Drama|Mystery
160,160.jpg,Congo (1995),Action|Adventure|Mystery|Sci-Fi
161,161.jpg,Crimson Tide (1995),Drama|Thriller|War
162,162.jpg,Crumb (1994),Documentary
163,163.jpg,Desperado (1995),Action|Romance|Western
164,164.jpg,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
165,165.jpg,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
166,166.jpg,"Doom Generation, The (1995)",Comedy|Crime|Drama
168,168.jpg,First Knight (1995),Action|Drama|Romance
169,169.jpg,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
170,170.jpg,Hackers (1995),Action|Adventure|Crime|Thriller
171,171.jpg,Jeffrey (1995),Comedy|Drama
172,172.jpg,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
173,173.jpg,Judge Dredd (1995),Action|Crime|Sci-Fi
174,174.jpg,Jury Duty (1995),Comedy
175,175.jpg,Kids (1995),Drama
176,176.jpg,Living in Oblivion (1995),Comedy
177,177.jpg,Lord of Illusions (1995),Horror
178,178.jpg,Love & Human Remains (1993),Comedy|Drama
179,179.jpg,Mad Love (1995),Drama|Romance
180,180.jpg,Mallrats (1995),Comedy|Romance
181,181.jpg,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
183,183.jpg,Mute Witness (1994),Comedy|Horror|Thriller
184,184.jpg,Nadja (1994),Drama
185,185.jpg,"Net, The (1995)",Action|Crime|Thriller
186,186.jpg,Nine Months (1995),Comedy|Romance
187,187.jpg,Party Girl (1995),Comedy
188,188.jpg,"Prophecy, The (1995)",Fantasy|Horror|Mystery
189,189.jpg,Reckless (1995),Comedy|Fantasy
190,190.jpg,Safe (1995),Thriller
191,191.jpg,"Scarlet Letter, The (1995)",Drama|Romance
193,193.jpg,Showgirls (1995),Drama
194,194.jpg,Smoke (1995),Comedy|Drama
195,195.jpg,Something to Talk About (1995),Comedy|Drama|Romance
196,196.jpg,Species (1995),Horror|Sci-Fi
198,198.jpg,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
199,199.jpg,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
201,201.jpg,Three Wishes (1995),Drama|Fantasy
202,202.jpg,Total Eclipse (1995),Drama|Romance
203,203.jpg,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
204,204.jpg,Under Siege 2: Dark Territory (1995),Action
205,205.jpg,Unstrung Heroes (1995),Comedy|Drama
206,206.jpg,Unzipped (1995),Documentary
207,207.jpg,"Walk in the Clouds, A (1995)",Drama|Romance
208,208.jpg,Waterworld (1995),Action|Adventure|Sci-Fi
209,209.jpg,White Man's Burden (1995),Drama
210,210.jpg,Wild Bill (1995),Western
211,211.jpg,"Browning Version, The (1994)",Drama
212,212.jpg,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
213,213.jpg,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
214,214.jpg,Before the Rain (Pred dozhdot) (1994),Drama|War
215,215.jpg,Before Sunrise (1995),Drama|Romance
216,216.jpg,Billy Madison (1995),Comedy
217,217.jpg,"Babysitter, The (1995)",Drama|Thriller
218,218.jpg,Boys on the Side (1995),Comedy|Drama
219,219.jpg,"Cure, The (1995)",Drama
220,220.jpg,Castle Freak (1995),Horror
222,222.jpg,Circle of Friends (1995),Drama|Romance
223,223.jpg,Clerks (1994),Comedy
224,224.jpg,Don Juan DeMarco (1995),Comedy|Drama|Romance
225,225.jpg,Disclosure (1994),Drama|Thriller
227,227.jpg,Drop Zone (1994),Action|Thriller
228,228.jpg,Destiny Turns on the Radio (1995),Comedy
229,229.jpg,Death and the Maiden (1994),Drama|Thriller
230,230.jpg,Dolores Claiborne (1995),Drama|Thriller
231,231.jpg,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
232,232.jpg,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
233,233.jpg,Exotica (1994),Drama
234,234.jpg,Exit to Eden (1994),Comedy
235,235.jpg,Ed Wood (1994),Comedy|Drama
236,236.jpg,French Kiss (1995),Action|Comedy|Romance
237,237.jpg,Forget Paris (1995),Comedy|Romance
238,238.jpg,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children
239,239.jpg,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
240,240.jpg,Hideaway (1995),Thriller
241,241.jpg,Fluke (1995),Children|Drama
242,242.jpg,Farinelli: il castrato (1994),Drama|Musical
243,243.jpg,Gordy (1995),Children|Comedy|Fantasy
246,246.jpg,Hoop Dreams (1994),Documentary
247,247.jpg,Heavenly Creatures (1994),Crime|Drama
248,248.jpg,Houseguest (1994),Comedy
249,249.jpg,Immortal Beloved (1994),Drama|Romance
250,250.jpg,Heavyweights (Heavy Weights) (1995),Children|Comedy
251,251.jpg,"Hunted, The (1995)",Action
252,252.jpg,I.Q. (1994),Comedy|Romance
253,253.jpg,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
254,254.jpg,Jefferson in Paris (1995),Drama
255,255.jpg,"Jerky Boys, The (1995)",Comedy
256,256.jpg,Junior (1994),Comedy|Sci-Fi
257,257.jpg,Just Cause (1995),Mystery|Thriller
258,258.jpg,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
259,259.jpg,Kiss of Death (1995),Crime|Drama|Thriller
260,260.jpg,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
261,261.jpg,Little Women (1994),Drama
262,262.jpg,"Little Princess, A (1995)",Children|Drama
263,263.jpg,Ladybird Ladybird (1994),Drama
265,265.jpg,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
266,266.jpg,Legends of the Fall (1994),Drama|Romance|War|Western
267,267.jpg,Major Payne (1995),Comedy
269,269.jpg,My Crazy Life (Mi vida loca) (1993),Drama
270,270.jpg,Love Affair (1994),Drama|Romance
271,271.jpg,Losing Isaiah (1995),Drama
272,272.jpg,"Madness of King George, The (1994)",Comedy|Drama
273,273.jpg,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
274,274.jpg,Man of the House (1995),Comedy
275,275.jpg,Mixed Nuts (1994),Comedy
276,276.jpg,Milk Money (1994),Comedy|Romance
277,277.jpg,Miracle on 34th Street (1994),Drama
278,278.jpg,Miami Rhapsody (1995),Comedy
279,279.jpg,My Family (1995),Drama
280,280.jpg,Murder in the First (1995),Drama|Thriller
281,281.jpg,Nobody's Fool (1994),Comedy|Drama|Romance
282,282.jpg,Nell (1994),Drama
283,283.jpg,New Jersey Drive (1995),Crime|Drama
284,284.jpg,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime
285,285.jpg,Beyond Bedlam (1993),Drama|Horror
287,287.jpg,Nina Takes a Lover (1994),Comedy|Romance
288,288.jpg,Natural Born Killers (1994),Action|Crime|Thriller
289,289.jpg,Only You (1994),Comedy|Romance
290,290.jpg,Once Were Warriors (1994),Crime|Drama
291,291.jpg,Poison Ivy II (1996),Drama|Thriller
292,292.jpg,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
293,293.jpg,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
294,294.jpg,"Perez Family, The (1995)",Comedy|Romance
295,295.jpg,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
296,296.jpg,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
298,298.jpg,Pushing Hands (Tui shou) (1992),Drama
299,299.jpg,Priest (1994),Drama
300,300.jpg,Quiz Show (1994),Drama
301,301.jpg,Picture Bride (Bijo photo) (1994),Drama|Romance
302,302.jpg,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance
303,303.jpg,"Quick and the Dead, The (1995)",Action|Thriller|Western
304,304.jpg,Roommates (1995),Comedy|Drama
305,305.jpg,Ready to Wear (Pret-A-Porter) (1994),Comedy
306,306.jpg,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
307,307.jpg,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
308,308.jpg,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
310,310.jpg,Rent-a-Kid (1995),Comedy
311,311.jpg,Relative Fear (1994),Horror|Thriller
312,312.jpg,Stuart Saves His Family (1995),Comedy
313,313.jpg,"Swan Princess, The (1994)",Animation|Children
314,314.jpg,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
315,315.jpg,"Specialist, The (1994)",Action|Drama|Thriller
316,316.jpg,Stargate (1994),Action|Adventure|Sci-Fi
317,317.jpg,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
318,318.jpg,"Shawshank Redemption, The (1994)",Crime|Drama
319,319.jpg,Shallow Grave (1994),Comedy|Drama|Thriller
320,320.jpg,Suture (1993),Film-Noir|Thriller
321,321.jpg,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
322,322.jpg,Swimming with Sharks (1995),Comedy|Drama
324,324.jpg,"Sum of Us, The (1994)",Comedy|Drama
325,325.jpg,National Lampoon's Senior Trip (1995),Comedy
326,326.jpg,To Live (Huozhe) (1994),Drama
327,327.jpg,Tank Girl (1995),Action|Comedy|Sci-Fi
328,328.jpg,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller
329,329.jpg,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
330,330.jpg,Tales from the Hood (1995),Action|Crime|Horror
331,331.jpg,Tom & Viv (1994),Drama
332,332.jpg,Village of the Damned (1995),Horror|Sci-Fi
333,333.jpg,Tommy Boy (1995),Comedy
334,334.jpg,Vanya on 42nd Street (1994),Drama
335,335.jpg,Underneath (1995),Mystery|Thriller
336,336.jpg,"Walking Dead, The (1995)",Drama|War
337,337.jpg,What's Eating Gilbert Grape (1993),Drama
338,338.jpg,Virtuosity (1995),Action|Sci-Fi|Thriller
339,339.jpg,While You Were Sleeping (1995),Comedy|Romance
340,340.jpg,"War, The (1994)",Adventure|Drama|War
341,341.jpg,Double Happiness (1994),Drama
342,342.jpg,Muriel's Wedding (1994),Comedy
343,343.jpg,"Baby-Sitters Club, The (1995)",Children
344,344.jpg,Ace Ventura: Pet Detective (1994),Comedy
345,345.jpg,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
346,346.jpg,Backbeat (1993),Drama|Musical
347,347.jpg,Bitter Moon (1992),Drama|Film-Noir|Romance
348,348.jpg,Bullets Over Broadway (1994),Comedy
349,349.jpg,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
350,350.jpg,"Client, The (1994)",Drama|Mystery|Thriller
351,351.jpg,"Corrina, Corrina (1994)",Comedy|Drama|Romance
352,352.jpg,Crooklyn (1994),Comedy|Drama
353,353.jpg,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
354,354.jpg,Cobb (1994),Drama
355,355.jpg,"Flintstones, The (1994)",Children|Comedy|Fantasy
356,356.jpg,Forrest Gump (1994),Comedy|Drama|Romance|War
357,357.jpg,Four Weddings and a Funeral (1994),Comedy|Romance
358,358.jpg,Higher Learning (1995),Drama
359,359.jpg,I Like It Like That (1994),Comedy|Drama|Romance
360,360.jpg,I Love Trouble (1994),Action|Comedy
361,361.jpg,It Could Happen to You (1994),Comedy|Drama|Romance
362,362.jpg,"Jungle Book, The (1994)",Adventure|Children|Romance
363,363.jpg,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary
364,364.jpg,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
365,365.jpg,Little Buddha (1993),Drama
366,366.jpg,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller
367,367.jpg,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
368,368.jpg,Maverick (1994),Adventure|Comedy|Western
369,369.jpg,Mrs. Parker and the Vicious Circle (1994),Drama
370,370.jpg,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
371,371.jpg,"Paper, The (1994)",Comedy|Drama
372,372.jpg,Reality Bites (1994),Comedy|Drama|Romance
373,373.jpg,Red Rock West (1992),Thriller
374,374.jpg,Richie Rich (1994),Children|Comedy
376,376.jpg,"River Wild, The (1994)",Action|Thriller
377,377.jpg,Speed (1994),Action|Romance|Thriller
378,378.jpg,Speechless (1994),Comedy|Romance
379,379.jpg,Timecop (1994),Action|Sci-Fi|Thriller
380,380.jpg,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
381,381.jpg,When a Man Loves a Woman (1994),Drama|Romance
382,382.jpg,Wolf (1994),Drama|Horror|Romance|Thriller
383,383.jpg,Wyatt Earp (1994),Western
384,384.jpg,Bad Company (1995),Action|Crime|Drama
385,385.jpg,"Man of No Importance, A (1994)",Drama
386,386.jpg,S.F.W. (1994),Drama
387,387.jpg,"Low Down Dirty Shame, A (1994)",Action|Comedy
388,388.jpg,Boys Life (1995),Drama
389,389.jpg,"Colonel Chabert, Le (1994)",Drama|Romance|War
390,390.jpg,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama
391,391.jpg,Jason's Lyric (1994),Crime|Drama
393,393.jpg,Street Fighter (1994),Action|Adventure|Fantasy
405,405.jpg,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy
406,406.jpg,Federal Hill (1994),Drama
407,407.jpg,In the Mouth of Madness (1995),Horror|Thriller
408,408.jpg,8 Seconds (1994),Drama
409,409.jpg,Above the Rim (1994),Crime|Drama
410,410.jpg,Addams Family Values (1993),Children|Comedy|Fantasy
412,412.jpg,"Age of Innocence, The (1993)",Drama
413,413.jpg,Airheads (1994),Comedy
414,414.jpg,"Air Up There, The (1994)",Comedy
415,415.jpg,Another Stakeout (1993),Comedy|Thriller
416,416.jpg,Bad Girls (1994),Western
417,417.jpg,Barcelona (1994),Comedy|Romance
418,418.jpg,Being Human (1993),Drama
419,419.jpg,"Beverly Hillbillies, The (1993)",Comedy
420,420.jpg,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
421,421.jpg,Black Beauty (1994),Adventure|Children|Drama
422,422.jpg,Blink (1994),Thriller
423,423.jpg,Blown Away (1994),Action|Thriller
424,424.jpg,Blue Chips (1994),Drama
425,425.jpg,Blue Sky (1994),Drama|Romance
426,426.jpg,Body Snatchers (1993),Horror|Sci-Fi|Thriller
427,427.jpg,Boxing Helena (1993),Drama|Mystery|Romance|Thriller
428,428.jpg,"Bronx Tale, A (1993)",Drama
429,429.jpg,Cabin Boy (1994),Comedy
430,430.jpg,Calendar Girl (1993),Comedy|Drama
431,431.jpg,Carlito's Way (1993),Crime|Drama
432,432.jpg,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
433,433.jpg,Clean Slate (1994),Comedy
434,434.jpg,Cliffhanger (1993),Action|Adventure|Thriller
435,435.jpg,Coneheads (1993),Comedy|Sci-Fi
436,436.jpg,Color of Night (1994),Drama|Thriller
437,437.jpg,Cops and Robbersons (1994),Comedy
438,438.jpg,"Cowboy Way, The (1994)",Action|Comedy|Drama
440,440.jpg,Dave (1993),Comedy|Romance
441,441.jpg,Dazed and Confused (1993),Comedy
442,442.jpg,Demolition Man (1993),Action|Adventure|Sci-Fi
444,444.jpg,Even Cowgirls Get the Blues (1993),Comedy|Romance
445,445.jpg,Fatal Instinct (1993),Comedy
446,446.jpg,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance
448,448.jpg,Fearless (1993),Drama
449,449.jpg,Fear of a Black Hat (1994),Comedy
450,450.jpg,With Honors (1994),Comedy|Drama
451,451.jpg,Flesh and Bone (1993),Drama|Mystery|Romance
452,452.jpg,Widows' Peak (1994),Drama
453,453.jpg,For Love or Money (1993),Comedy|Romance
454,454.jpg,"Firm, The (1993)",Drama|Thriller
455,455.jpg,Free Willy (1993),Adventure|Children|Drama
456,456.jpg,Fresh (1994),Crime|Drama|Thriller
457,457.jpg,"Fugitive, The (1993)",Thriller
458,458.jpg,Geronimo: An American Legend (1993),Drama|Western
459,459.jpg,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller
460,460.jpg,Getting Even with Dad (1994),Comedy
461,461.jpg,Go Fish (1994),Drama|Romance
464,464.jpg,Hard Target (1993),Action|Adventure|Crime|Thriller
466,466.jpg,Hot Shots! Part Deux (1993),Action|Comedy|War
467,467.jpg,Live Nude Girls (1995),Comedy
468,468.jpg,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance
469,469.jpg,"House of the Spirits, The (1993)",Drama|Romance
470,470.jpg,House Party 3 (1994),Comedy
471,471.jpg,"Hudsucker Proxy, The (1994)",Comedy
472,472.jpg,I'll Do Anything (1994),Comedy|Drama
473,473.jpg,In the Army Now (1994),Comedy|War
474,474.jpg,In the Line of Fire (1993),Action|Thriller
475,475.jpg,In the Name of the Father (1993),Drama
476,476.jpg,"Inkwell, The (1994)",Comedy|Drama
477,477.jpg,What's Love Got to Do with It? (1993),Drama|Musical
478,478.jpg,Jimmy Hollywood (1994),Comedy|Crime|Drama
479,479.jpg,Judgment Night (1993),Action|Crime|Thriller
480,480.jpg,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
481,481.jpg,Kalifornia (1993),Drama|Thriller
482,482.jpg,Killing Zoe (1994),Crime|Drama|Thriller
484,484.jpg,Lassie (1994),Adventure|Children
485,485.jpg,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
486,486.jpg,Life with Mikey (1993),Comedy
487,487.jpg,Lightning Jack (1994),Comedy|Western
488,488.jpg,M. Butterfly (1993),Drama|Romance
489,489.jpg,Made in America (1993),Comedy
490,490.jpg,Malice (1993),Thriller
491,491.jpg,"Man Without a Face, The (1993)",Drama
492,492.jpg,Manhattan Murder Mystery (1993),Comedy|Mystery
493,493.jpg,Menace II Society (1993),Action|Crime|Drama
494,494.jpg,Executive Decision (1996),Action|Adventure|Thriller
495,495.jpg,In the Realm of the Senses (Ai no corrida) (1976),Drama
496,496.jpg,What Happened Was... (1994),Comedy|Drama|Romance|Thriller
497,497.jpg,Much Ado About Nothing (1993),Comedy|Romance
499,499.jpg,Mr. Wonderful (1993),Comedy|Romance
500,500.jpg,Mrs. Doubtfire (1993),Comedy|Drama
501,501.jpg,Naked (1993),Drama
502,502.jpg,"Next Karate Kid, The (1994)",Action|Children|Romance
504,504.jpg,No Escape (1994),Action|Drama|Sci-Fi
505,505.jpg,North (1994),Comedy
506,506.jpg,Orlando (1992),Drama|Fantasy|Romance
507,507.jpg,"Perfect World, A (1993)",Crime|Drama|Thriller
508,508.jpg,Philadelphia (1993),Drama
509,509.jpg,"Piano, The (1993)",Drama|Romance
510,510.jpg,Poetic Justice (1993),Drama
511,511.jpg,"Program, The (1993)",Action|Drama
512,512.jpg,"Puppet Masters, The (1994)",Horror|Sci-Fi
513,513.jpg,Radioland Murders (1994),Comedy|Mystery|Romance
514,514.jpg,"Ref, The (1994)",Comedy
515,515.jpg,"Remains of the Day, The (1993)",Drama|Romance
516,516.jpg,Renaissance Man (1994),Comedy|Drama
517,517.jpg,Rising Sun (1993),Action|Drama|Mystery
518,518.jpg,"Road to Wellville, The (1994)",Comedy
519,519.jpg,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller
520,520.jpg,Robin Hood: Men in Tights (1993),Comedy
521,521.jpg,Romeo Is Bleeding (1993),Crime|Thriller
522,522.jpg,Romper Stomper (1992),Action|Drama
523,523.jpg,Ruby in Paradise (1993),Drama
524,524.jpg,Rudy (1993),Drama
526,526.jpg,"Savage Nights (Nuits fauves, Les) (1992)",Drama
